,Area,Mean,min,max
1,4.49E-05,167.472,124,193
2,4.20E-05,158.579,94,211
3,4.49E-05,167.472,124,193
4,2.49E-05,180.98,137,215
5,2.24E-05,177.223,138,201
6,2.12E-05,179.894,133,210
7,2.46E-05,174.536,131,197
8,4.96E-05,163.134,126,192
9,2.48E-05,157.929,128,187
10,1.72E-05,168.886,144,196
11,5.55E-05,181.491,135,217
12,1.45E-05,181.081,157,206
13,7.97E-05,184.591,149,216
14,3.91E-05,171.183,124,215
15,2.93E-05,123.42,61,177
16,4.10E-05,134.238,68,197
17,2.23E-05,123.013,86,164
18,2.05E-05,175.952,133,210
19,3.04E-05,173.913,136,197
20,1.88E-05,123.724,86,163
21,1.35E-05,114.399,87,173
22,1.48E-05,110.265,73,155
