,Area,Mean,min,max
1,3.91E-05,191.015,173,216
2,7.73E-05,183.206,137,209
3,4.73E-05,155.289,128,205
4,5.70E-05,188.955,156,215
5,1.95E-05,198.475,184,214
6,1.82E-05,195.586,177,219
7,1.68E-05,196.413,175,218
8,1.88E-05,193.87,178,211
9,5.55E-05,196.13,158,218
10,5.82E-05,196.743,166,217
11,2.42E-05,197.98,177,219
12,2.03E-05,194.654,174,224
13,4.73E-05,193.45,173,218
14,3.13E-05,185.875,163,205
15,4.38E-05,190.009,150,216
16,3.67E-05,187.386,150,209
17,6.25E-05,187.675,161,216
18,4.38E-05,184.926,154,210
19,5.20E-05,184.754,131,212
20,6.68E-05,182.298,156,205
21,4.10E-05,188.657,158,210
22,8.40E-05,194.212,164,220
23,4.65E-05,183.578,153,207
24,6.41E-05,185.973,162,211
25,4.38E-05,188.853,161,208
26,3.32E-05,202.429,178,224
27,4.73E-05,187.529,166,211
28,5.90E-05,180.7,132,211
29,4.10E-05,181.079,155,209
30,5.82E-05,181,148,208
31,3.71E-05,191.532,162,215
32,4.34E-05,180.475,157,201
33,3.91E-05,192.232,165,210
34,5.12E-05,189.469,149,211
35,2.70E-05,183.891,156,208
36,5.47E-05,168.855,140,194
37,4.41E-05,183.626,151,208
38,3.91E-05,191.015,173,216
39,3.36E-05,197.317,175,219
40,7.73E-05,183.206,137,209
41,3.13E-05,194.463,166,212
42,2.03E-05,189.173,168,208
