 ,X,Y,resin.duct.count
1,0.507,4.4,0
2,0.508,4.39,17
3,0.508,4.363,25
4,0.518,4.322,17
5,0.518,4.292,3
6,0.523,4.275,13
7,0.525,4.261,16
8,0.525,4.242,5
9,0.525,4.226,14
10,0.528,4.205,6
11,0.528,4.183,16
12,0.532,4.158,12
13,0.533,4.142,2
14,0.533,4.121,15
15,0.536,4.093,22
16,0.541,4.039,14
17,0.535,3.971,16
18,0.538,3.948,9
19,0.531,3.899,4
20,0.531,3.876,5
21,0.531,3.861,13
22,0.536,3.834,12
23,0.535,3.807,2
24,0.534,3.778,3
25,0.534,3.755,11
26,0.534,3.729,4
27,0.537,3.707,13
28,0.54,3.677,4
29,0.538,3.657,15
30,0.539,3.606,17
31,0.542,3.559,5
32,0.543,3.527,15
33,0.545,3.464,12
34,0.551,3.419,8
35,0.55,3.383,14
36,0.552,3.333,0
37,0.553,3.324,9
38,0.554,3.284,17
39,0.553,3.236,11
40,0.553,3.208,6
41,0.557,3.173,7
42,0.555,3.157,7
43,0.56,3.126,2
44,0.56,3.1,25
45,0.559,3.026,19
46,0.565,2.93,2
47,0.561,2.913,4
48,0.56,2.906,23
49,0.561,2.803,13
50,0.561,2.755,10
51,0.553,2.714,2
52,0.553,2.698,12
53,0.557,2.647,18
54,0.562,2.588,6
55,0.565,2.555,22
56,0.566,2.473,7
57,0.572,2.429,10
58,0.56,2.383,9
59,0.563,2.348,7
60,0.562,2.323,8
61,0.562,2.286,0
62,0.565,2.271,9
63,0.556,2.238,0
64,0.562,2.222,6
65,0.563,2.208,17
66,0.561,2.17,1
67,0.557,2.147,10
68,0.56,2.107,14
69,0.561,2.069,23
70,0.564,1.994,9
71,0.562,1.939,6
72,0.562,1.908,8
73,0.562,1.886,10
74,0.57,1.858,0
75,0.57,1.845,9
76,0.561,1.823,11
77,0.557,1.798,0
78,0.557,1.788,10
79,0.562,1.759,6
80,0.562,1.732,4
81,0.558,1.704,10
82,0.558,1.694,6
83,0.557,1.663,11
84,0.558,1.627,15
85,0.562,1.587,5
86,0.562,1.564,5
87,0.562,1.549,3
88,0.562,1.532,11
89,0.567,1.491,16
90,0.567,1.44,15
91,0.568,1.4,12
92,0.568,1.349,23
93,0.575,1.275,11
94,0.576,1.207,12
95,0.58,1.156,7
96,0.576,1.11,10
97,0.573,1.073,8
98,0.571,1.037,3
99,0.569,0.994,12
100,0.58,0.945,2
101,0.583,0.911,18
102,0.594,0.851,14
103,0.592,0.805,10
104,0.592,0.777,3
105,0.592,0.754,6
106,0.595,0.734,11
107,0.593,0.693,11
108,0.595,0.657,6
109,0.598,0.626,1
110,0.599,0.611,12
111,0.587,0.557,12
112,0.589,0.522,1
113,0.583,0.497,8
114,0.573,0.476,8
115,0.571,0.464,4
116,0.57,0.447,6
117,0.572,0.427,14
118,0.578,0.369,4
119,0.571,0.345,2
120,0.578,0.331,7
121,0.575,0.306,4
122,0.58,0.289,4
123,0.577,0.262,7
124,0.578,0.222,2
125,0.584,0.198,
