 ,X,Y
1,0.476,4.050
2,0.476,4.022
3,0.473,3.994
4,0.472,3.966
5,0.474,3.950
6,0.475,3.928
7,0.482,3.883
8,0.484,3.870
9,0.487,3.835
10,0.486,3.826
11,0.493,3.807
12,0.494,3.789
13,0.491,3.776
14,0.492,3.764
15,0.492,3.752
16,0.489,3.711
17,0.484,3.666
18,0.489,3.635
19,0.489,3.577
20,0.485,3.486
21,0.484,3.407
22,0.492,3.360
23,0.486,3.328
24,0.478,3.282
25,0.479,3.241
26,0.482,3.186
27,0.480,3.092
28,0.481,3.049
29,0.486,3.027
30,0.484,2.971
31,0.479,2.928
32,0.481,2.890
33,0.481,2.860
34,0.486,2.811
35,0.482,2.768
36,0.486,2.738
37,0.483,2.689
38,0.482,2.647
39,0.482,2.613
40,0.483,2.566
41,0.473,2.534
42,0.479,2.505
43,0.478,2.499
44,0.479,2.489
45,0.481,2.476
46,0.479,2.453
47,0.477,2.439
48,0.478,2.425
49,0.480,2.406
50,0.479,2.397
51,0.479,2.387
52,0.478,2.381
53,0.478,2.376
54,0.481,2.366
55,0.482,2.346
56,0.482,2.333
57,0.480,2.304
58,0.478,2.280
59,0.474,2.257
60,0.475,2.219
61,0.472,2.208
62,0.477,2.200
63,0.472,2.186
64,0.470,2.165
65,0.469,2.141
66,0.470,2.131
67,0.471,2.123
68,0.471,2.101
69,0.468,2.072
70,0.466,2.043
71,0.467,2.025
72,0.467,2.019
73,0.468,1.999
74,0.467,1.972
75,0.467,1.966
76,0.469,1.934
77,0.465,1.878
78,0.466,1.862
79,0.466,1.851
80,0.465,1.833
81,0.467,1.816
82,0.465,1.794
83,0.465,1.742
84,0.466,1.735
85,0.469,1.710
86,0.468,1.691
87,0.467,1.662
88,0.468,1.629
89,0.468,1.618
90,0.468,1.599
91,0.477,1.582
92,0.469,1.554
93,0.468,1.546
94,0.470,1.521
95,0.469,1.510
96,0.469,1.501
97,0.467,1.489
98,0.467,1.478
99,0.468,1.465
100,0.468,1.449
101,0.468,1.442
102,0.472,1.410
103,0.468,1.406
104,0.468,1.396
105,0.466,1.390
106,0.463,1.386
107,0.463,1.380
108,0.464,1.357
109,0.464,1.350
110,0.463,1.340
111,0.466,1.314
112,0.465,1.300
113,0.465,1.292
114,0.465,1.283
115,0.465,1.277
116,0.466,1.273
117,0.465,1.268
118,0.462,1.256
119,0.462,1.251
120,0.463,1.221
121,0.461,1.171
122,0.460,1.158
123,0.463,1.123
124,0.464,1.104
125,0.463,1.094
126,0.467,1.063
127,0.463,1.027
128,0.466,0.998
129,0.468,0.965
130,0.470,0.955
131,0.472,0.949
132,0.472,0.918
133,0.472,0.910
134,0.470,0.878
135,0.469,0.845
136,0.465,0.837
137,0.466,0.828
138,0.463,0.807
139,0.462,0.787
140,0.462,0.758
141,0.458,0.734
142,0.455,0.700
143,0.453,0.690
144,0.453,0.680
145,0.451,0.658
146,0.451,0.632
147,0.456,0.616
148,0.460,0.596
149,0.458,0.580
150,0.454,0.568
151,0.448,0.560
152,0.447,0.548
153,0.439,0.526
154,0.437,0.519
155,0.437,0.508
156,0.437,0.494
157,0.439,0.472
158,0.441,0.457
159,0.439,0.449
160,0.441,0.444
161,0.444,0.431
162,0.439,0.408
163,0.439,0.396
164,0.440,0.362
165,0.430,0.341
166,0.428,0.333
167,0.429,0.324
168,0.429,0.319
169,0.429,0.314
