 ,X,Y,resin.duct.count
1,0.501,6.252,0
2,0.501,6.229,13
3,0.495,6.198,25
4,0.514,6.141,18
5,0.524,6.104,26
6,0.534,6.042,22
7,0.541,5.997,36
8,0.545,5.938,44
9,0.58,5.824,21
10,0.571,5.768,20
11,0.576,5.715,19
12,0.578,5.663,20
13,0.578,5.624,25
14,0.587,5.533,17
15,0.591,5.491,16
16,0.601,5.435,4
17,0.602,5.413,18
18,0.606,5.357,17
19,0.603,5.297,16
20,0.605,5.233,25
21,0.605,5.156,15
22,0.609,5.098,18
23,0.615,5.019,27
24,0.613,4.881,8
25,0.614,4.847,14
26,0.606,4.812,9
27,0.602,4.757,10
28,0.598,4.723,14
29,0.593,4.676,18
30,0.595,4.629,5
31,0.594,4.6,21
32,0.591,4.537,9
33,0.595,4.502,9
34,0.599,4.473,8
35,0.596,4.437,9
36,0.599,4.412,6
37,0.596,4.392,13
38,0.598,4.361,13
39,0.601,4.314,16
40,0.608,4.271,0
41,0.606,4.252,23
42,0.615,4.09,26
43,0.624,3.908,31
44,0.622,3.727,9
45,0.623,3.686,19
46,0.624,3.587,19
47,0.631,3.517,20
48,0.639,3.432,16
49,0.638,3.352,20
50,0.633,3.265,18
51,0.631,3.175,13
52,0.626,3.137,11
53,0.625,3.064,12
54,0.625,2.976,17
55,0.613,2.889,16
56,0.614,2.823,1
57,0.614,2.795,23
58,0.614,2.656,10
59,0.61,2.605,18
60,0.606,2.519,4
61,0.608,2.474,24
62,0.615,2.362,3
63,0.616,2.333,23
64,0.621,2.132,26
65,0.619,2.013,11
66,0.623,1.963,16
67,0.624,1.865,19
68,0.628,1.775,18
69,0.614,1.677,24
70,0.614,1.576,2
71,0.614,1.552,8
72,0.609,1.531,12
73,0.615,1.453,22
74,0.615,1.336,9
75,0.614,1.291,19
76,0.614,1.231,13
77,0.614,1.198,4
78,0.614,1.173,8
79,0.613,1.142,12
80,0.611,1.081,20
81,0.616,0.941,14
82,0.613,0.888,4
83,0.619,0.851,20
84,0.618,0.727,10
85,0.615,0.663,10
86,0.613,0.602,11
87,0.611,0.535,18
88,0.603,0.446,8
89,0.608,0.414,12
90,0.608,0.361,
