 ,X,Y
1,0.684,5.418
2,0.682,5.387
3,0.674,5.341
4,0.646,5.252
5,0.613,5.173
6,0.583,5.077
7,0.571,4.981
8,0.567,4.920
9,0.571,4.788
10,0.562,4.743
11,0.563,4.724
12,0.562,4.703
13,0.554,4.679
14,0.553,4.666
15,0.552,4.657
16,0.553,4.641
17,0.555,4.626
18,0.555,4.615
19,0.554,4.572
20,0.560,4.514
21,0.561,4.483
22,0.549,4.397
23,0.549,4.316
24,0.550,4.280
25,0.547,4.234
26,0.545,4.220
27,0.543,4.194
28,0.539,4.148
29,0.538,4.123
30,0.541,4.093
31,0.550,4.038
32,0.554,3.974
33,0.555,3.958
34,0.562,3.932
35,0.550,3.909
36,0.548,3.871
37,0.547,3.811
38,0.547,3.677
39,0.552,3.558
40,0.561,3.407
41,0.562,3.278
42,0.568,3.227
43,0.571,3.197
44,0.568,3.143
45,0.566,3.109
46,0.567,2.960
47,0.571,2.842
48,0.571,2.735
49,0.569,2.689
50,0.565,2.652
51,0.566,2.600
52,0.571,2.561
53,0.561,2.525
54,0.557,2.473
55,0.569,2.405
56,0.562,2.385
57,0.562,2.365
58,0.565,2.325
59,0.567,2.290
60,0.555,2.218
61,0.558,2.074
62,0.552,2.035
63,0.549,1.971
64,0.551,1.920
65,0.556,1.865
66,0.543,1.850
67,0.552,1.805
68,0.548,1.779
69,0.552,1.752
70,0.555,1.696
71,0.563,1.633
72,0.547,1.490
73,0.552,1.453
74,0.557,1.423
75,0.555,1.383
76,0.563,1.306
77,0.563,1.274
78,0.569,1.229
79,0.572,1.185
80,0.567,1.135
81,0.566,1.082
82,0.571,1.036
83,0.570,0.982
84,0.575,0.879
85,0.588,0.813
86,0.594,0.675
87,0.588,0.646
88,0.584,0.613
89,0.574,0.545
90,0.573,0.516
91,0.567,0.459
92,0.565,0.404
93,0.567,0.335
