 ,X,Y,resin.duct.count
1,0.623,1.463,0
2,0.623,1.45,13
3,0.621,1.429,25
4,0.617,1.383,35
5,0.625,1.341,19
6,0.632,1.302,16
7,0.633,1.271,25
8,0.637,1.24,39
9,0.631,1.178,28
10,0.629,1.13,35
11,0.637,1.081,13
12,0.642,1.055,3
13,0.644,1.037,18
14,0.643,0.995,18
15,0.642,0.968,13
16,0.641,0.945,13
17,0.64,0.913,2
18,0.644,0.901,4
19,0.654,0.882,21
20,0.649,0.853,34
21,0.645,0.805,15
22,0.648,0.767,23
23,0.647,0.734,17
24,0.647,0.696,15
25,0.645,0.653,19
26,0.646,0.617,15
27,0.642,0.573,22
28,0.64,0.516,22
29,0.639,0.469,10
30,0.638,0.433,22
31,0.639,0.392,4
32,0.641,0.379,22
33,0.626,0.329,2
34,0.63,0.319,4
35,0.631,0.315,19
36,0.628,0.278,23
37,0.632,0.226,19
38,0.638,0.173,
