 ,X,Y,resin.duct.count
1,0.226,3.132,0
2,0.229,3.113,11
3,0.231,3.077,24
4,0.228,3.03,19
5,0.228,2.997,23
6,0.233,2.962,16
7,0.234,2.94,4
8,0.236,2.922,17
9,0.253,2.852,11
10,0.255,2.817,13
11,0.26,2.774,19
12,0.256,2.697,17
13,0.26,2.626,8
14,0.266,2.573,16
15,0.279,2.526,13
16,0.276,2.465,14
17,0.271,2.416,17
18,0.272,2.357,13
19,0.277,2.297,10
20,0.277,2.247,6
21,0.274,2.192,18
22,0.277,2.105,15
23,0.279,2.059,14
24,0.278,1.957,20
25,0.277,1.887,12
26,0.289,1.821,18
27,0.289,1.752,10
28,0.289,1.71,11
29,0.296,1.646,11
30,0.308,1.594,13
31,0.296,1.514,14
32,0.291,1.444,22
33,0.296,1.357,13
34,0.301,1.295,14
35,0.306,1.207,12
36,0.313,1.144,18
37,0.308,1.084,9
38,0.316,1.032,12
39,0.308,0.979,13
40,0.306,0.9,19
41,0.307,0.807,12
42,0.312,0.704,9
43,0.312,0.661,6
44,0.314,0.626,13
45,0.31,0.575,16
46,0.312,0.519,2
47,0.309,0.485,6
48,0.309,0.464,10
49,0.311,0.438,11
50,0.305,0.419,7
51,0.31,0.402,6
52,0.313,0.386,2
53,0.315,0.359,1
54,0.318,0.339,6
55,0.321,0.303,0
56,0.325,0.296,6
57,0.326,0.287,1
58,0.326,0.272,0
59,0.322,0.26,3
60,0.325,0.254,1
61,0.326,0.247,0
62,0.327,0.241,
