 ,X,Y
1,0.555,6.644
2,0.520,6.627
3,0.481,6.515
4,0.450,6.394
5,0.416,6.269
6,0.354,6.133
7,0.335,5.931
8,0.335,5.769
9,0.323,5.612
10,0.332,5.388
11,0.319,5.143
12,0.311,4.960
13,0.311,4.732
14,0.294,4.492
15,0.289,4.330
16,0.296,4.024
17,0.292,3.893
18,0.302,3.722
19,0.287,3.416
20,0.266,3.215
21,0.263,2.982
22,0.268,2.802
23,0.264,2.629
24,0.285,2.527
25,0.287,2.445
26,0.272,2.263
27,0.268,2.111
28,0.281,1.966
29,0.276,1.885
30,0.272,1.739
31,0.263,1.598
32,0.276,1.468
33,0.281,1.329
34,0.264,1.218
35,0.261,1.165
36,0.265,1.045
37,0.264,0.991
38,0.245,0.943
39,0.251,0.840
40,0.250,0.761
41,0.246,0.724
42,0.247,0.608
43,0.241,0.547
44,0.233,0.503
45,0.228,0.432
46,0.228,0.378
47,0.228,0.352
48,0.224,0.320
49,0.226,0.298
