actual, ,X,Y
152,1,0.542,0.192
151,2,0.542,0.198
150,3,0.542,0.208
149,4,0.54,0.217
148,5,0.539,0.254
147,6,0.539,0.281
146,7,0.538,0.3
145,8,0.539,0.314
144,9,0.539,0.327
143,10,0.539,0.343
142,11,0.538,0.354
141,12,0.538,0.362
140,13,0.538,0.381
139,14,0.537,0.401
138,15,0.54,0.411
137,16,0.541,0.42
136,17,0.541,0.443
135,18,0.541,0.459
134,19,0.539,0.473
133,20,0.541,0.48
132,21,0.541,0.485
131,22,0.544,0.494
130,23,0.544,0.517
129,24,0.545,0.553
128,25,0.548,0.586
127,26,0.546,0.606
126,27,0.545,0.621
125,28,0.545,0.654
124,29,0.546,0.688
123,30,0.546,0.727
122,31,0.544,0.745
121,32,0.543,0.766
120,33,0.542,0.796
119,34,0.542,0.841
118,35,0.542,0.899
117,36,0.537,0.93
116,37,0.534,0.99
115,38,0.538,1.034
114,39,0.538,1.073
113,40,0.535,1.107
112,41,0.54,1.148
111,42,0.54,1.159
110,43,0.539,1.211
109,44,0.538,1.282
108,45,0.543,1.352
107,46,0.543,1.403
106,47,0.541,1.423
105,48,0.537,1.443
104,49,0.535,1.453
103,50,0.535,1.492
102,51,0.534,1.524
101,52,0.535,1.53
100,53,0.534,1.538
99,54,0.534,1.548
98,55,0.535,1.561
97,56,0.534,1.585
96,57,0.536,1.628
95,58,0.534,1.665
94,59,0.531,1.695
93,60,0.532,1.704
92,61,0.532,1.732
91,62,0.533,1.759
90,63,0.532,1.789
89,64,0.533,1.797
88,65,0.533,1.823
87,66,0.533,1.829
86,67,0.534,1.846
85,68,0.53,1.859
84,69,0.53,1.887
83,70,0.531,1.91
82,71,0.531,1.927
81,72,0.529,1.942
80,73,0.529,1.997
79,74,0.527,2.026
78,75,0.527,2.072
77,76,0.529,2.108
76,77,0.528,2.149
75,78,0.527,2.17
74,79,0.525,2.206
73,80,0.524,2.221
72,81,0.524,2.236
71,82,0.522,2.27
70,83,0.527,2.287
69,84,0.527,2.322
68,85,0.526,2.348
67,86,0.527,2.383
66,87,0.527,2.427
65,88,0.524,2.471
64,89,0.523,2.553
63,90,0.521,2.587
62,91,0.521,2.646
61,92,0.517,2.695
60,93,0.519,2.713
59,94,0.519,2.756
58,95,0.516,2.804
57,96,0.518,2.889
56,97,0.519,2.905
55,98,0.519,2.913
54,99,0.519,2.929
53,100,0.519,2.949
52,101,0.516,3.024
51,102,0.515,3.103
50,103,0.514,3.13
49,104,0.512,3.16
48,105,0.511,3.175
47,106,0.511,3.209
46,107,0.51,3.236
45,108,0.511,3.284
44,109,0.511,3.324
43,110,0.513,3.333
42,111,0.511,3.385
41,112,0.513,3.421
40,113,0.515,3.464
39,114,0.511,3.528
38,115,0.511,3.557
37,116,0.509,3.605
36,117,0.509,3.623
35,118,0.508,3.658
34,119,0.508,3.678
33,120,0.508,3.708
32,121,0.508,3.729
31,122,0.509,3.744
30,123,0.509,3.754
29,124,0.507,3.763
28,125,0.505,3.776
27,126,0.505,3.803
26,127,0.505,3.831
25,128,0.504,3.856
24,129,0.501,3.869
23,130,0.504,3.896
22,131,0.505,3.943
21,132,0.502,3.968
20,133,0.507,4.007
19,134,0.506,4.033
18,135,0.505,4.092
17,136,0.506,4.12
16,137,0.505,4.139
15,138,0.504,4.152
14,139,0.504,4.181
13,140,0.503,4.186
12,141,0.503,4.191
11,142,0.503,4.203
10,143,0.501,4.226
9,144,0.502,4.24
8,145,0.498,4.259
7,146,0.496,4.274
6,147,0.496,4.281
5,148,0.497,4.291
4,149,0.498,4.32
3,150,0.502,4.363
2,151,0.504,4.381
1,152,0.506,4.401
